Scenario,OMST,LMST,Sens early (%),Sens late (%),Specificity (%),# screens,Follow-up,Positivity (%),Phi (%),p_c (Trad),p_s (Trad),p_c (IE+),p_s (IE+),p_c (PA),p_s (PA),rho_n control,rho_n screen,RR negative,RR Traditional,RR IE,RR PA,N Traditional,N IE,N PA,N_Traditional / N_IE,N_Traditional / N_PA
95,4,0.5,70,90,90,6,2,47.596,99.954,0.009,0.003,0.016,0.003,0.009,0.003,0.004,0.004,0.971,0.333,0.172,0.298,4921,3510,4562,1.402,1.079
96,4,0.5,70,90,90,6,5,47.596,99.954,0.015,0.007,0.02,0.003,0.015,0.006,0.011,0.011,0.974,0.452,0.138,0.435,4968,2517,4761,1.974,1.044
97,4,1,40,60,100,3,2,0.648,99.938,0.005,0.003,0.448,0.205,0.004,0.003,0.002,0.002,0.993,0.671,0.457,0.623,49938,17970,42315,2.779,1.18
98,4,1,40,60,100,3,5,0.648,99.938,0.009,0.007,0.639,0.205,0.009,0.006,0.005,0.005,0.99,0.698,0.32,0.677,30557,6274,28230,4.87,1.082
99,4,1,40,60,100,6,2,1.192,99.938,0.009,0.005,0.534,0.187,0.009,0.005,0.003,0.003,0.982,0.559,0.351,0.528,13144,5051,12054,2.602,1.09
100,4,1,40,60,100,6,5,1.192,99.938,0.015,0.009,0.671,0.187,0.015,0.009,0.007,0.007,0.979,0.611,0.279,0.594,10863,2764,10320,3.931,1.053
101,4,1,40,60,90,3,2,27.499,99.938,0.005,0.003,0.011,0.005,0.004,0.003,0.003,0.003,0.993,0.671,0.457,0.623,49938,26474,42315,1.886,1.18
102,4,1,40,60,90,3,5,27.499,99.938,0.009,0.007,0.015,0.005,0.009,0.006,0.007,0.007,0.99,0.698,0.32,0.677,30557,10742,28230,2.845,1.082
103,4,1,40,60,90,6,2,47.351,99.938,0.009,0.005,0.013,0.005,0.009,0.005,0.006,0.006,0.982,0.559,0.351,0.528,13144,7829,12054,1.679,1.09
104,4,1,40,60,90,6,5,47.351,99.938,0.015,0.009,0.017,0.005,0.015,0.009,0.014,0.013,0.979,0.611,0.279,0.594,10863,4787,10320,2.269,1.053
105,4,1,40,90,100,3,2,0.697,99.907,0.005,0.003,0.484,0.261,0.004,0.002,0.001,0.001,0.991,0.676,0.539,0.599,51523,21150,39755,2.436,1.296
106,4,1,40,90,100,3,5,0.697,99.907,0.009,0.007,0.664,0.261,0.009,0.006,0.005,0.005,0.989,0.698,0.393,0.666,30583,6887,27089,4.44,1.129
107,4,1,40,90,100,6,2,1.271,99.907,0.009,0.005,0.561,0.238,0.009,0.004,0.002,0.002,0.977,0.561,0.424,0.514,13302,5662,11648,2.349,1.142
108,4,1,40,90,100,6,5,1.271,99.907,0.015,0.009,0.691,0.238,0.014,0.008,0.006,0.006,0.977,0.611,0.344,0.585,10867,2993,10052,3.631,1.081
109,4,1,40,90,90,3,2,27.547,99.907,0.005,0.003,0.012,0.007,0.004,0.002,0.002,0.002,0.991,0.676,0.539,0.599,51523,33381,39755,1.543,1.296
110,4,1,40,90,90,3,5,27.547,99.907,0.009,0.007,0.017,0.007,0.009,0.006,0.007,0.007,0.989,0.698,0.393,0.666,30583,12663,27089,2.415,1.129
111,4,1,40,90,90,6,2,47.419,99.907,0.009,0.005,0.015,0.006,0.009,0.004,0.004,0.004,0.977,0.561,0.424,0.514,13302,9328,11648,1.426,1.142
112,4,1,40,90,90,6,5,47.419,99.907,0.015,0.009,0.019,0.006,0.014,0.008,0.012,0.012,0.977,0.611,0.344,0.585,10867,5517,10052,1.97,1.081
113,4,1,70,60,100,3,2,0.851,99.938,0.005,0.002,0.414,0.129,0.004,0.002,0.001,0.001,0.99,0.495,0.311,0.421,18977,8966,15738,2.117,1.206
114,4,1,70,60,100,3,5,0.851,99.938,0.009,0.005,0.61,0.129,0.009,0.005,0.004,0.004,0.987,0.563,0.211,0.532,13428,3712,12316,3.618,1.09
115,4,1,70,60,100,6,2,1.478,99.938,0.009,0.004,0.504,0.112,0.009,0.003,0.002,0.002,0.973,0.384,0.222,0.341,5989,2947,5428,2.032,1.103
116,4,1,70,60,100,6,5,1.478,99.938,0.015,0.007,0.644,0.112,0.015,0.007,0.006,0.006,0.974,0.472,0.174,0.449,5394,1763,5099,3.06,1.058
117,4,1,70,60,90,3,2,27.687,99.938,0.005,0.002,0.013,0.004,0.004,0.002,0.002,0.002,0.99,0.495,0.311,0.421,18977,12206,15738,1.555,1.206
118,4,1,70,60,90,3,5,27.687,99.938,0.009,0.005,0.019,0.004,0.009,0.005,0.006,0.006,0.987,0.563,0.211,0.532,13428,5820,12316,2.307,1.09
119,4,1,70,60,90,6,2,47.571,99.938,0.009,0.004,0.016,0.003,0.009,0.003,0.004,0.004,0.973,0.384,0.222,0.341,5989,4217,5428,1.42,1.103
120,4,1,70,60,90,6,5,47.571,99.938,0.015,0.007,0.02,0.003,0.015,0.007,0.011,0.01,0.974,0.472,0.174,0.449,5394,2801,5099,1.926,1.058
121,4,1,70,90,100,3,2,0.89,99.907,0.005,0.002,0.439,0.168,0.004,0.001,0.001,0.001,0.986,0.498,0.382,0.379,19232,10135,14316,1.898,1.343
122,4,1,70,90,100,3,5,0.89,99.907,0.009,0.005,0.627,0.168,0.009,0.004,0.004,0.004,0.986,0.563,0.267,0.516,13433,3994,11765,3.363,1.142
123,4,1,70,90,100,6,2,1.536,99.907,0.009,0.004,0.522,0.145,0.009,0.003,0.002,0.001,0.963,0.385,0.279,0.319,6023,3209,5178,1.877,1.163
124,4,1,70,90,100,6,5,1.536,99.907,0.015,0.007,0.658,0.145,0.014,0.006,0.005,0.005,0.971,0.472,0.221,0.437,5396,1872,4952,2.882,1.09
125,4,1,70,90,90,3,2,27.725,99.907,0.005,0.002,0.014,0.005,0.004,0.001,0.001,0.001,0.986,0.498,0.382,0.379,19232,14401,14316,1.336,1.343
126,4,1,70,90,90,3,5,27.725,99.907,0.009,0.005,0.02,0.005,0.009,0.004,0.005,0.005,0.986,0.563,0.267,0.516,13433,6544,11765,2.053,1.142
127,4,1,70,90,90,6,2,47.621,99.907,0.009,0.004,0.017,0.005,0.009,0.003,0.003,0.003,0.963,0.385,0.279,0.319,6023,4763,5178,1.265,1.163
128,4,1,70,90,90,6,5,47.621,99.907,0.015,0.007,0.021,0.005,0.014,0.006,0.01,0.009,0.971,0.472,0.221,0.437,5396,3088,4952,1.747,1.09
